Box #,Assay#,Depth,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Average GR,Std,CPS,Comments
,9380,208,0.6,0.5,1.2,16.1,18.4,9381,0.5,1.1,0.1,14.8,17.2,9382,0.5,0.9,0.4,15.2,16.8,9383,0.5,0.9,0.4,15.2,16.8,17.3,0.757,,
,9384,208.3,0.5,1,1.3,18.6,21.2,9385,0.6,0.9,0.8,17.2,20,9385,0.5,1,1,17.2,20,9386,0.6,0.9,0.3,16.4,18,19.8,1.327,,
,9387,208.6,0.6,1,0.9,18.3,21.2,9388,0.6,0.8,0.6,17.1,18.4,9389,0.6,0.6,1,17.6,18.4,9390,0.5,1,1.5,20.1,22,20,1.876,,
,9391,208.9,0.5,1,0.7,16.9,18.8,9392,0.5,1.3,0.4,18,20,9393,0.5,1.1,0.6,17.9,19.2,9394,0.5,1,1,18.8,20,19.5,0.6,,
,9395,209.2,0.6,1.1,1.2,20.2,23.2,9396,0.6,0.7,1.1,17.8,19.6,9397,0.6,1,1.2,20.2,22.4,9398,0.6,1,1.2,20.2,22.4,21.9,1.579,,
,9399,209.5,0.6,1,1,19.5,21.6,9400,0.5,1.4,0.8,19.9,22.4,9401,0.5,1.3,1,20,22.4,9402,0.5,1.6,0.6,21,23.2,22.4,0.653,,
,9403,209.8,0.5,1.3,0.8,19,21.6,9404,0.5,1.2,0.8,18.7,20.8,9405,0.7,1.4,0.9,22.6,26,9406,0.6,1.1,1.3,20.8,23.6,23,2.321,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7103,210.1,0.6,1.2,0.8,19.9,22.4,7104,0.5,1.2,1.3,20.9,22.8,7105,0.6,1.5,0.7,21,24.4,7106,0.5,1.4,1.2,21.1,24,23.4,0.952,,
,7107,210.4,0.5,1,0.9,16.3,19.6,7108,0.4,1,0.5,14,16.4,7109,0.4,1,0.9,15.8,18,7110,0.4,1.5,0.5,18.6,20.4,18.6,1.774,,
,7111,210.7,0.6,0.9,0.3,16.1,18,7112,0.6,0.4,1,14.7,16.8,7113,0.6,1.1,0.8,19.5,21.6,7115,0.5,1.2,0.7,17.1,20.4,19.2,2.191,,
,7116,211,0.5,1.1,0.7,16.7,19.6,7117,0.5,1.2,0.6,17.5,20,7118,0.6,1.1,0.5,18.7,20.4,7119,0.5,1.2,1.2,19.2,22.4,20.6,1.244,,
,7120,211.3,0.4,0.9,1.2,16.5,18.4,7121,0.5,1,0.9,17.1,19.6,7122,0.5,0.4,1.4,14.8,16.8,7123,0.5,0.8,1.4,17.4,20,18.7,1.438,,
,7124,211.6,0.6,1,1.3,19.8,22.8,7125,0.6,1.1,1.1,19.4,22.8,7126,0.7,1,1,20.4,23.2,7127,0.5,0.9,1.3,18.3,20.4,22.3,1.281,,
,7128,211.9,0.5,1.3,1,19.6,22.4,7129,0.5,1,0.5,16,18,7130,0.4,1.2,0.4,15.9,17.6,7131,0.4,1.5,0.8,19.3,21.6,19.9,2.452,,
,7132,212.2,0.5,1.1,0.9,18.5,20.4,7133,0.7,1.1,0.6,19.4,22.4,7134,0.4,1.2,0.9,17.5,19.6,7135,0.5,1.1,0.9,18.5,20.4,20.7,1.194,,
,7136,212.5,0.6,1,0.8,19.2,20.8,7137,0.6,1,0.4,17.7,19.2,7138,0.5,0.9,1.1,16.7,19.6,7139,0.6,1.1,0.6,18.7,20.8,20.1,0.825,,
